[20:54:05.485] === SYNC ANALYSIS LOG STARTED ===
Expected host send rate: 20Hz (50ms intervals)
Expected client interpolation rate: 30Hz (33ms intervals)
Format: [Time] Event: Details

[20:55:05.285] DATA_RX: Packet #610, Interval: 92,9ms, Jitter: 42,9ms
[20:55:05.704] PHYSICS: Frame #3360, Jitter: 37,1ms, Prediction: 100,0%
[20:55:06.136] DATA_RX: Packet #620, Interval: 92,1ms, Jitter: 42,1ms
[20:55:06.726] PHYSICS: Frame #3420, Jitter: 37,9ms, Prediction: 100,0%
[20:55:07.138] DATA_RX: Packet #630, Interval: 194,4ms, Jitter: 144,4ms
[20:55:07.745] PHYSICS: Frame #3480, Jitter: 49,6ms, Prediction: 100,0%
[20:55:08.396] DATA_RX: Packet #640, Interval: 43,3ms, Jitter: -6,7ms
[20:55:08.762] PHYSICS: Frame #3540, Jitter: 74,1ms, Prediction: 100,0%
[20:55:09.645] DATA_RX: Packet #650, Interval: 93,7ms, Jitter: 43,7ms
[20:55:09.781] PHYSICS: Frame #3600, Jitter: 77,9ms, Prediction: 100,0%
[20:55:10.544] DATA_RX: Packet #660, Interval: 96,1ms, Jitter: 46,1ms
[20:55:10.802] PHYSICS: Frame #3660, Jitter: 41,4ms, Prediction: 100,0%
[20:55:11.442] DATA_RX: Packet #670, Interval: 89,5ms, Jitter: 39,5ms
[20:55:11.836] PHYSICS: Frame #3720, Jitter: 40,0ms, Prediction: 100,0%
[20:55:12.387] DATA_RX: Packet #680, Interval: 95,1ms, Jitter: 45,1ms
[20:55:12.857] PHYSICS: Frame #3780, Jitter: 44,4ms, Prediction: 100,0%
[20:55:13.245] DATA_RX: Packet #690, Interval: 95,2ms, Jitter: 45,2ms
[20:55:13.882] PHYSICS: Frame #3840, Jitter: 40,0ms, Prediction: 100,0%
[20:55:14.150] DATA_RX: Packet #700, Interval: 61,5ms, Jitter: 11,5ms
[20:55:14.903] PHYSICS: Frame #3900, Jitter: 42,7ms, Prediction: 100,0%
[20:55:15.049] DATA_RX: Packet #710, Interval: 100,6ms, Jitter: 50,6ms
[20:55:15.922] PHYSICS: Frame #3960, Jitter: 40,5ms, Prediction: 100,0%
[20:55:15.996] DATA_RX: Packet #720, Interval: 98,7ms, Jitter: 48,7ms
[20:55:16.848] DATA_RX: Packet #730, Interval: 60,9ms, Jitter: 10,9ms
[20:55:16.940] PHYSICS: Frame #4020, Jitter: 39,9ms, Prediction: 100,0%
[20:55:17.742] DATA_RX: Packet #740, Interval: 92,1ms, Jitter: 42,1ms
[20:55:17.962] PHYSICS: Frame #4080, Jitter: 37,4ms, Prediction: 100,0%
[20:55:18.642] DATA_RX: Packet #750, Interval: 95,3ms, Jitter: 45,3ms
[20:55:18.980] PHYSICS: Frame #4140, Jitter: 39,7ms, Prediction: 100,0%
[20:55:19.698] DATA_RX: Packet #760, Interval: 76,6ms, Jitter: 26,6ms
[20:55:19.998] PHYSICS: Frame #4200, Jitter: 47,8ms, Prediction: 100,0%
[20:55:20.699] DATA_RX: Packet #770, Interval: 56,0ms, Jitter: 6,0ms
[20:55:21.025] PHYSICS: Frame #4260, Jitter: 53,3ms, Prediction: 100,0%
[20:55:21.848] DATA_RX: Packet #780, Interval: 61,7ms, Jitter: 11,7ms
[20:55:22.050] PHYSICS: Frame #4320, Jitter: 60,3ms, Prediction: 100,0%
[20:55:22.751] DATA_RX: Packet #790, Interval: 64,7ms, Jitter: 14,7ms
[20:55:23.069] PHYSICS: Frame #4380, Jitter: 48,3ms, Prediction: 100,0%
[20:55:23.650] DATA_RX: Packet #800, Interval: 107,7ms, Jitter: 57,7ms
[20:55:24.090] PHYSICS: Frame #4440, Jitter: 37,9ms, Prediction: 100,0%
[20:55:24.549] DATA_RX: Packet #810, Interval: 108,5ms, Jitter: 58,5ms
[20:55:25.108] PHYSICS: Frame #4500, Jitter: 40,6ms, Prediction: 100,0%
[20:55:25.436] DATA_RX: Packet #820, Interval: 93,0ms, Jitter: 43,0ms
[20:55:26.130] PHYSICS: Frame #4560, Jitter: 37,8ms, Prediction: 100,0%
[20:55:26.286] DATA_RX: Packet #830, Interval: 93,3ms, Jitter: 43,3ms
[20:55:27.142] DATA_RX: Packet #840, Interval: 93,5ms, Jitter: 43,5ms
[20:55:27.152] PHYSICS: Frame #4620, Jitter: 35,3ms, Prediction: 100,0%
[20:55:28.144] DATA_RX: Packet #850, Interval: 90,6ms, Jitter: 40,6ms
[20:55:28.164] PHYSICS: Frame #4680, Jitter: 42,9ms, Prediction: 100,0%
[20:55:29.045] DATA_RX: Packet #860, Interval: 95,9ms, Jitter: 45,9ms
[20:55:29.185] PHYSICS: Frame #4740, Jitter: 44,4ms, Prediction: 100,0%
[20:55:29.948] DATA_RX: Packet #870, Interval: 97,6ms, Jitter: 47,6ms
[20:55:30.217] PHYSICS: Frame #4800, Jitter: 38,6ms, Prediction: 100,0%
[20:55:30.845] DATA_RX: Packet #880, Interval: 96,1ms, Jitter: 46,1ms
[20:55:31.234] PHYSICS: Frame #4860, Jitter: 38,6ms, Prediction: 100,0%
[20:55:31.718] DATA_RX: Packet #890, Interval: 81,3ms, Jitter: 31,3ms
[20:55:32.254] PHYSICS: Frame #4920, Jitter: 37,8ms, Prediction: 100,0%
[20:55:32.790] DATA_RX: Packet #900, Interval: 64,6ms, Jitter: 14,6ms
[20:55:33.264] PHYSICS: Frame #4980, Jitter: 54,3ms, Prediction: 100,0%
[20:55:34.157] DATA_RX: Packet #910, Interval: 200,8ms, Jitter: 150,8ms
[20:55:34.288] PHYSICS: Frame #5040, Jitter: 72,8ms, Prediction: 100,0%
[20:55:35.250] DATA_RX: Packet #920, Interval: 66,0ms, Jitter: 16,0ms
[20:55:35.302] PHYSICS: Frame #5100, Jitter: 74,0ms, Prediction: 100,0%
[20:55:36.148] DATA_RX: Packet #930, Interval: 60,9ms, Jitter: 10,9ms
[20:55:36.327] PHYSICS: Frame #5160, Jitter: 50,2ms, Prediction: 100,0%
[20:55:37.044] DATA_RX: Packet #940, Interval: 93,4ms, Jitter: 43,4ms
[20:55:37.347] PHYSICS: Frame #5220, Jitter: 39,8ms, Prediction: 100,0%
[20:55:37.898] DATA_RX: Packet #950, Interval: 108,6ms, Jitter: 58,6ms
[20:55:38.371] PHYSICS: Frame #5280, Jitter: 34,8ms, Prediction: 100,0%
[20:55:38.835] DATA_RX: Packet #960, Interval: 94,4ms, Jitter: 44,4ms
[20:55:39.392] PHYSICS: Frame #5340, Jitter: 40,3ms, Prediction: 100,0%
